Country,Happiness Rank,count,MEAN,,Happiness Score,,Happiness Score,,Happiness Score,,Happiness Score,,Happiness Score
Tajikistan,100,5,4.718599978,Tajikistan,4.786,Tajikistan,4.996,Tajikistan,5.040999889,Tajikistan,3.303,Tajikistan,5.467
Macedonia,95,4,4.769250048,Macedonia,5.007,Macedonia,5.121,Macedonia,5.175000191,Macedonia,3.774,,
Vietnam,96,5,4.804999976,Vietnam,5.36,Vietnam,5.061,Vietnam,5.073999882,Vietnam,3.355,Vietnam,5.175
Lebanon,93,5,4.839599981,Lebanon,4.839,Lebanon,5.129,Lebanon,5.224999905,Lebanon,3.808,Lebanon,5.197
Ukraine,123,5,4.841400039,Ukraine,4.681,Ukraine,4.324,Ukraine,4.096000195,Ukraine,6.774,Ukraine,4.332
Georgia,126,5,4.863799955,Georgia,4.297,Georgia,4.252,Georgia,4.285999775,Georgia,6.965,Georgia,4.519
South Africa,116,5,4.905399999,South Africa,4.642,South Africa,4.459,South Africa,4.828999996,South Africa,5.875,South Africa,4.722
Tunisia,98,5,4.906599966,Tunisia,4.739,Tunisia,5.045,Tunisia,4.804999828,Tunisia,5.483,Tunisia,4.461
Sierra Leone,111,5,4.913600022,Sierra Leone,4.507,Sierra Leone,4.635,Sierra Leone,4.709000111,Sierra Leone,6.343,Sierra Leone,4.374
Morocco,90,5,5.004800027,Morocco,5.013,Morocco,5.151,Morocco,5.235000134,Morocco,4.417,Morocco,5.208
Somalia,76,5,5.008000005,Somalia,5.057,Somalia,5.44,Somalia,5.151000023,Somalia,4.724,Somalia,4.668
Iraq,112,5,5.032600043,Iraq,4.677,Iraq,4.575,Iraq,4.497000217,Iraq,6.977,Iraq,4.437
Sudan,133,4,5.035499985,Sudan,4.55,Sudan,4.139,Sudan,4.138999939,Sudan,7.314,,
Kyrgyzstan,85,5,5.071800037,Kyrgyzstan,5.286,Kyrgyzstan,5.185,Kyrgyzstan,5.004000187,Kyrgyzstan,4.623,Kyrgyzstan,5.261
Mongolia,101,5,5.073599985,Mongolia,4.874,Mongolia,4.907,Mongolia,4.954999924,Mongolia,5.347,Mongolia,5.285
Palestinian Territories,108,5,5.074000019,Palestinian Territories,4.715,Palestinian Territories,4.754,Palestinian Territories,4.775000095,Palestinian Territories,6.43,Palestinian Territories,4.696
Laos,102,4,5.12025,Laos,4.876,Laos,4.876,,,Laos,5.933,Laos,4.796
Bhutan,84,5,5.124800031,Bhutan,5.253,Bhutan,5.196,Bhutan,5.011000156,Bhutan,5.082,Bhutan,5.082
Bosnia and Herzegovina,87,5,5.161800032,Bosnia and Herzegovina,4.949,Bosnia and Herzegovina,5.163,Bosnia and Herzegovina,5.18200016,Bosnia and Herzegovina,5.129,Bosnia and Herzegovina,5.386
Serbia,86,5,5.173799996,Serbia,5.123,Serbia,5.177,Serbia,5.394999981,Serbia,4.571,Serbia,5.603
Indonesia,79,5,5.174800017,Indonesia,5.399,Indonesia,5.314,Indonesia,5.262000084,Indonesia,4.707,Indonesia,5.192
Pakistan,92,5,5.198200011,Pakistan,5.194,Pakistan,5.132,Pakistan,5.269000053,Pakistan,4.743,Pakistan,5.653
Dominican Republic,89,5,5.199400004,Dominican Republic,4.885,Dominican Republic,5.155,Dominican Republic,5.230000019,Dominican Republic,5.302,Dominican Republic,5.425
China,83,5,5.218999953,China,5.14,China,5.245,China,5.272999763,China,5.246,China,5.191
Honduras,104,5,5.226000047,Honduras,4.788,Honduras,4.871,Honduras,5.181000233,Honduras,5.43,Honduras,5.86
Azerbaijan,81,5,5.229200041,Azerbaijan,5.212,Azerbaijan,5.291,Azerbaijan,5.234000206,Azerbaijan,5.201,Azerbaijan,5.208
Nigeria,103,5,5.263399976,Nigeria,5.268,Nigeria,4.875,Nigeria,5.073999882,Nigeria,5.835,Nigeria,5.265
Montenegro,88,5,5.273399998,Montenegro,5.192,Montenegro,5.161,Montenegro,5.236999989,Montenegro,5.254,Montenegro,5.523
North Macedonia,,1,5.274,,,,,,,,,North Macedonia,5.274
Turkmenistan,65,5,5.287200005,Turkmenistan,5.548,Turkmenistan,5.658,Turkmenistan,5.822000027,Turkmenistan,4.161,Turkmenistan,5.247
Jordan,80,5,5.305399993,Jordan,5.192,Jordan,5.303,Jordan,5.335999966,Jordan,5.79,Jordan,4.906
Russia,56,5,5.318199964,Russia,5.716,Russia,5.856,Russia,5.962999821,Russia,3.408,Russia,5.648
Nepal,107,5,5.324599979,Nepal,4.514,Nepal,4.793,Nepal,4.961999893,Nepal,7.441,Nepal,4.913
Greece,99,5,5.357200047,Greece,4.857,Greece,5.033,Greece,5.227000237,Greece,6.382,Greece,5.287
South Korea,57,5,5.361199964,South Korea,5.984,South Korea,5.835,South Korea,5.837999821,South Korea,3.254,South Korea,5.895
Angola,141,4,5.393750019,Angola,4.033,Angola,3.866,Angola,3.795000076,Angola,3.795,Argentina,6.086
Turkey,78,5,5.446,Turkey,5.332,Turkey,5.389,Turkey,5.5,Turkey,5.636,Turkey,5.373
Croatia,74,5,5.458600044,Croatia,5.759,Croatia,5.488,Croatia,5.293000221,Croatia,5.321,Croatia,5.432
Hong Kong,75,5,5.490800024,Hong Kong,5.474,Hong Kong,5.458,Hong Kong,5.472000122,Hong Kong,5.62,Hong Kong,5.43
Portugal,94,5,5.497400034,Portugal,5.102,Portugal,5.123,Portugal,5.195000172,Portugal,6.374,Portugal,5.693
Philippines,82,5,5.507199966,Philippines,5.073,Philippines,5.279,Philippines,5.429999828,Philippines,6.123,Philippines,5.631
Malaysia,47,5,5.529000022,Malaysia,5.77,Malaysia,6.005,Malaysia,6.084000111,Malaysia,4.447,Malaysia,5.339
Latvia,68,5,5.561199981,Latvia,5.098,Latvia,5.56,Latvia,5.849999905,Latvia,5.358,Latvia,5.94
Kazakhstan,54,5,5.562399953,Kazakhstan,5.855,Kazakhstan,5.919,Kazakhstan,5.818999767,Kazakhstan,4.41,Kazakhstan,5.809
Venezuela,44,5,5.5908,Venezuela,6.81,Venezuela,6.084,Venezuela,5.25,Venezuela,5.103,Venezuela,4.707
Belarus,61,5,5.597999953,Belarus,5.813,Belarus,5.802,Belarus,5.568999767,Belarus,5.483,Belarus,5.323
Nicaragua,48,5,5.63240002,Nicaragua,5.828,Nicaragua,5.992,Nicaragua,6.071000099,Nicaragua,4.166,Nicaragua,6.105
Estonia,72,5,5.637800012,Estonia,5.429,Estonia,5.517,Estonia,5.611000061,Estonia,5.739,Estonia,5.893
Moldova,55,5,5.655599964,Moldova,5.889,Moldova,5.897,Moldova,5.837999821,Moldova,5.125,Moldova,5.529
Paraguay,70,5,5.663000006,Paraguay,5.878,Paraguay,5.538,Paraguay,5.493000031,Paraguay,5.663,Paraguay,5.743
Jamaica,73,5,5.666999974,Jamaica,5.709,Jamaica,5.51,Jamaica,5.31099987,Jamaica,5.915,Jamaica,5.89
Algeria,38,5,5.667600043,Algeria,5.605,Algeria,6.355,Algeria,5.872000217,Algeria,5.295,Algeria,5.211
Romania,71,5,5.671399962,Romania,5.124,Romania,5.528,Romania,5.824999809,Romania,5.81,Romania,6.07
Libya,,5,5.674200019,Libya,5.754,Libya,5.615,Libya,5.525000095,Libya,5.952,Libya,5.525
Kosovo,77,5,5.690399961,Kosovo,5.589,Kosovo,5.401,Kosovo,5.278999805,Kosovo,6.083,Kosovo,6.1
Slovenia,63,5,5.694799979,Slovenia,5.848,Slovenia,5.768,Slovenia,5.757999897,Slovenia,4.982,Slovenia,6.118
Peru,64,5,5.700600031,Peru,5.824,Peru,5.743,Peru,5.715000153,Peru,5.524,Peru,5.697
Hungary,91,5,5.704399976,Hungary,4.8,Hungary,5.145,Hungary,5.323999882,Hungary,7.495,Hungary,5.758
Cyprus,69,5,5.732799963,Cyprus,5.689,Cyprus,5.546,Cyprus,5.620999813,Cyprus,5.762,Cyprus,6.046
Italy,50,5,5.756600045,Italy,5.948,Italy,5.977,Italy,5.964000225,Italy,4.671,Italy,6.223
Japan,53,5,5.775000015,Japan,5.987,Japan,5.921,Japan,5.920000076,Japan,5.161,Japan,5.886
Uzbekistan,49,5,5.788200039,Uzbekistan,6.003,Uzbekistan,5.987,Uzbekistan,5.971000195,Uzbekistan,4.806,Uzbekistan,6.174
Bolivia,59,5,5.813199991,Bolivia,5.89,Bolivia,5.822,Bolivia,5.822999954,Bolivia,5.752,Bolivia,5.779
Mauritius,66,5,5.826000037,Mauritius,5.477,Mauritius,5.648,Mauritius,5.629000187,Mauritius,6.488,Mauritius,5.888
Poland,57,5,5.83820001,Poland,5.791,Poland,5.835,Poland,5.97300005,Poland,5.41,Poland,6.182
Trinidad and Tobago,43,5,5.857600044,Trinidad and Tobago,6.168,Trinidad and Tobago,6.168,Trinidad and Tobago,6.168000221,Trinidad and Tobago,4.592,Trinidad and Tobago,6.192
Guatemala,39,5,5.860199999,Guatemala,6.123,Guatemala,6.324,Guatemala,6.453999996,Guatemala,3.964,Guatemala,6.436
Thailand,33,5,5.871999957,Thailand,6.455,Thailand,6.474,Thailand,6.423999786,Thailand,3.999,Thailand,6.008
Belize,52,3,5.95599995,,,Belize,5.956,Belize,5.955999851,Belize,5.956,,
Kuwait,41,5,5.958200004,Kuwait,6.295,Kuwait,6.239,Kuwait,6.105000019,Kuwait,5.131,Kuwait,6.021
Spain,37,5,5.983599976,Spain,6.329,Spain,6.361,Spain,6.402999878,Spain,4.471,Spain,6.354
Ecuador,51,5,5.991999979,Ecuador,5.975,Ecuador,5.976,Ecuador,6.007999897,Ecuador,5.973,Ecuador,6.028
Saudi Arabia,34,5,6.027999973,Saudi Arabia,6.411,Saudi Arabia,6.379,Saudi Arabia,6.343999863,Saudi Arabia,4.631,Saudi Arabia,6.375
Slovakia,45,5,6.06340001,Slovakia,5.995,Slovakia,6.078,Slovakia,6.09800005,Slovakia,5.948,Slovakia,6.198
Malta,30,5,6.07979999,Malta,6.302,Malta,6.488,Malta,6.52699995,Malta,4.356,Malta,6.726
Bahrain,42,5,6.113799979,Bahrain,5.96,Bahrain,6.218,Bahrain,6.086999893,Bahrain,6.105,Bahrain,6.199
Lithuania,60,5,6.12139999,Lithuania,5.833,Lithuania,5.813,Lithuania,5.90199995,Lithuania,6.91,Lithuania,6.149
El Salvador,46,5,6.124199957,El Salvador,6.13,El Salvador,6.068,El Salvador,6.002999783,El Salvador,6.167,El Salvador,6.253
Taiwan,34,5,6.148799986,Taiwan,6.298,Taiwan,6.379,Taiwan,6.421999931,Taiwan,5.199,Taiwan,6.446
Armenia,121,4,6.158749982,Armenia,4.35,Armenia,4.36,Armenia,4.375999928,Armenia,4.321,,
Suriname,40,2,6.269,Suriname,6.269,Suriname,6.269,,,,,,
Qatar,36,5,6.336,Qatar,6.611,Qatar,6.375,Qatar,6.375,Qatar,5.945,Qatar,6.374
Colombia,31,5,6.339999975,Colombia,6.477,Colombia,6.481,Colombia,6.356999874,Colombia,6.26,Colombia,6.125
Uruguay,29,5,6.374599999,Uruguay,6.485,Uruguay,6.545,Uruguay,6.453999996,Uruguay,6.096,Uruguay,6.293
Panama,25,5,6.388200028,Panama,6.786,Panama,6.701,Panama,6.452000141,Panama,5.681,Panama,6.321
Germany,16,5,6.467400043,Germany,6.75,Germany,6.994,Germany,6.951000214,Germany,4.657,Germany,6.985
Singapore,22,5,6.508800005,Singapore,6.798,Singapore,6.739,Singapore,6.572000027,Singapore,6.173,Singapore,6.262
France,32,5,6.515199982,France,6.575,France,6.478,France,6.441999912,France,6.489,France,6.592
Mexico,21,5,6.555600014,Mexico,7.187,Mexico,6.778,Mexico,6.578000069,Mexico,5.64,Mexico,6.595
Chile,24,5,6.58939999,Chile,6.67,Chile,6.705,Chile,6.65199995,Chile,6.476,Chile,6.444
Luxembourg,20,5,6.590999983,Luxembourg,6.946,Luxembourg,6.871,Luxembourg,6.862999916,Luxembourg,5.185,Luxembourg,7.09
Czech Republic,27,5,6.654600041,Czech Republic,6.505,Czech Republic,6.596,Czech Republic,6.609000206,Czech Republic,6.711,Czech Republic,6.852
Brazil,17,5,6.657800046,Brazil,6.983,Brazil,6.952,Brazil,6.635000229,Brazil,6.419,Brazil,6.3
Switzerland,2,5,6.706399992,Switzerland,7.587,Switzerland,7.509,Switzerland,7.493999958,Switzerland,3.462,Switzerland,7.48
United Arab Emirates,28,5,6.827399953,United Arab Emirates,6.901,United Arab Emirates,6.573,United Arab Emirates,6.647999763,United Arab Emirates,7.19,United Arab Emirates,6.825
United Kingdom,23,5,6.849200045,United Kingdom,6.867,United Kingdom,6.725,United Kingdom,6.714000225,United Kingdom,6.886,United Kingdom,7.054
Iceland,3,5,6.850000037,Iceland,7.561,Iceland,7.501,Iceland,7.504000187,Iceland,4.19,Iceland,7.494
Oman,,1,6.853,Oman,6.853,,,,,,,,
United States,13,5,6.897400006,United States,7.119,United States,7.104,United States,6.993000031,United States,6.379,United States,6.892
Belgium,18,5,6.921399959,Belgium,6.937,Belgium,6.929,Belgium,6.890999794,Belgium,6.927,Belgium,6.923
Ireland,19,5,6.931800047,Ireland,6.94,Ireland,6.907,Ireland,6.977000237,Ireland,6.814,Ireland,7.021
Israel,11,5,6.979399964,Israel,7.278,Israel,7.267,Israel,7.212999821,Israel,6,Israel,7.139
Puerto Rico,15,1,7.039,,,Puerto Rico,7.039,,,,,,
New Zealand,8,5,7.076400026,New Zealand,7.286,New Zealand,7.334,New Zealand,7.31400013,New Zealand,6.141,New Zealand,7.307
Austria,12,5,7.142000008,Austria,7.2,Austria,7.119,Austria,7.006000042,Austria,7.139,Austria,7.246
Norway,4,5,7.116600036,Norway,7.522,Norway,7.498,Norway,7.537000179,Norway,5.472,Norway,7.554
Costa Rica,14,5,7.126199999,Costa Rica,7.226,Costa Rica,7.087,Costa Rica,7.078999996,Costa Rica,7.072,Costa Rica,7.167
Canada,6,5,7.350599997,Canada,7.427,Canada,7.404,Canada,7.315999985,Canada,7.328,Canada,7.278
Sweden,10,5,7.353799984,Sweden,7.364,Sweden,7.291,Sweden,7.28399992,Sweden,7.487,Sweden,7.343
Netherlands,7,5,7.381199971,Netherlands,7.378,Netherlands,7.339,Netherlands,7.376999855,Netherlands,7.324,Netherlands,7.488
Finland,5,5,7.537799973,Finland,7.406,Finland,7.413,Finland,7.468999863,Finland,7.632,Finland,7.769
Denmark,1,5,7.545999967,Denmark,7.527,Denmark,7.526,Denmark,7.521999836,Denmark,7.555,Denmark,7.6
North Cyprus,62,4,7.646999986,North Cyprus,5.695,North Cyprus,5.771,North Cyprus,5.809999943,North Cyprus,7.594,Northern Cyprus,5.718
Argentina,26,4,7.692499994,Argentina,6.574,Argentina,6.65,Argentina,6.598999977,Argentina,6.388,Armenia,4.559
Gambia,,1,8.856,,,,,,,,4.34,Gambia,4.516
Australia,9,5,7.276199984,Australia,7.284,Australia,7.313,Australia,7.28399992,Australia,7.272,Australia,7.228
